,Samples,Repeat,F1,Jaccard,Missed,Merges,Splits
0,2,0,0.7770468192670578,0.8808938037370492,1086,342,4
1,2,1,0.6772768712219659,0.8163182715217839,923,178,28
2,2,2,0.7312407942009516,0.8572440717863964,1226,291,20
3,2,3,0.7817590199583786,0.8817606763586024,933,269,4
4,2,4,0.6922243607386321,0.823953971140692,855,130,33
5,4,0,0.795929193795291,0.8864482247324744,832,223,4
6,4,1,0.7301164405585074,0.8483340649753771,921,216,15
7,4,2,0.7682047643738114,0.872790161960171,857,235,3
8,4,3,0.7685813128707968,0.8708802101445292,829,215,3
9,4,4,0.7664216219761328,0.8726136606500543,904,250,3
10,6,0,0.7140239319547643,0.8435451493347179,898,218,5
11,6,1,0.1227626933713516,0.2770848570570953,4009,25,1398
12,6,2,0.7737578555100852,0.8720348549179736,738,163,6
13,6,3,0.7729854130898526,0.8731936679202071,914,239,14
14,6,4,0.7334171303878214,0.857162858020833,1067,303,8
15,8,0,0.7335963568497328,0.8560400379131533,978,267,6
16,8,1,0.7909792830270229,0.8856108914622658,942,285,3
17,8,2,0.7420189637773265,0.8585997302019932,881,228,6
18,8,3,0.8075886160791658,0.892598679911585,841,237,4
19,8,4,0.7804035272691612,0.8750630621098082,744,167,8
20,10,0,0.7685296891589624,0.8777673841423921,1083,350,4
21,10,1,0.7128724328854805,0.8329733722881049,759,91,38
22,10,2,0.7725066483622198,0.8791144487300666,1086,343,2
23,10,3,0.770167249617793,0.876321061061984,1000,291,4
24,10,4,0.7727319054553472,0.8742986399061501,889,247,9
25,20,0,0.7339571400746043,0.8550474307732682,974,251,13
26,20,1,0.7887516807489694,0.8847299359529218,984,299,3
27,20,2,0.8020624622643469,0.8888474700839943,841,236,4
28,20,3,0.6754301296765381,0.8186968203667376,1182,237,11
29,20,4,0.7804608740904485,0.8775174305229987,864,237,5
30,40,0,0.7734985047128858,0.8808701156568006,1116,364,3
31,40,1,0.7622191457881726,0.871513252847636,981,294,5
32,40,2,0.6004671052131414,0.7565067919971404,1255,76,106
33,40,3,0.776687598074262,0.876353582135058,891,245,7
34,40,4,0.7428655964758145,0.8569456566078989,772,173,9
35,60,0,0.7788675094858831,0.877192627383353,898,250,4
36,60,1,0.784412372908638,0.8821532500709607,964,288,4
37,60,2,0.7934193371679763,0.8866424251826384,934,277,3
38,60,3,0.7599927721946416,0.868325864048648,902,244,4
39,60,4,0.7354091304366458,0.8557990266481091,891,235,5
40,80,0,0.7610755414029018,0.8721756565857588,1056,316,4
41,80,1,0.7050621744421203,0.8333394903305674,802,136,16
42,80,2,0.7839242751796515,0.8834909842589884,975,301,3
43,80,3,0.7561763293441139,0.8695759450861275,1017,304,3
44,80,4,0.7288714153755107,0.8551102318963955,1008,280,4
45,100,0,0.7918612599038988,0.8854623060427539,981,306,5
